"authors"	"year"	"text"	"ar_id"	"wg"	"chapter"
"Cheaib, A., V. Badeau, J. Boe, I. Chuine, C. Delire, E. Dufr&#234;ne, C. Fran&#231;ois, E.S. Gritti,M. Legay, C. Pag&#233;, W. Thuiller, N. Viovy, and P. Leadley"	2012	" Climate changeimpacts on tree ranges: model intercomparison facilitates understanding andquantification of uncertainty"	5	2	NA
"Cadotte, M.W."	2006	" Dispersal and species diversity: a meta-analysis"	5	2	NA
"Hayes, F., M.L.M. Jones, G. Mills, and M. Ashmore"	2007	" Meta-analysis of the relativesensitivity of semi-natural vegetation species to ozone"	5	2	NA
"Harsch, M.A., P.E. Hulme, M.S. McGlone, and R.P. Duncan"	2009	" Are treelinesadvancing? A global meta-analysis of treeline response to climate warming"	5	2	NA
"Osbaldiston R, and J P Schott"	2012	" Environmental Sustainability and Behav-ioral Science: Meta-Analysis of Proenvironmental Behavior Experiments. Envi-ronment and Behavior 44, 257 &#8211; 299"	5	3	"chapter4"
"Bamberg S, and G M&#246;ser"	2007	" Twenty years after Hines, Hungerford, and Tomera: A new meta-analysis of psycho-social determinants of pro-environmen-tal behaviour. Journal of Environmental Psychology 27, 14 &#8211; 25"	5	3	"chapter4"
"Tilmes S, J Fasullo, J Lamarque, D R Marsh, M Mills, K Alterskj&#230;r, H Muri, J E Kristj&#225;nsson, O Boucher, and M Schulz"	2013	" The hydrological impact of geoengineering in the Geoengineering Model Intercomparison Project (GeoMIP). Journal of Geophysical Research: Atmospheres 118, 11 &#8211; 036"	5	3	"chapter6"
"Luderer G, V Bosetti, M Jakob, M Leimbach, J Steckel, H Waisman, and O Edenhofer"	2012	" The economics of decarbonizing the energy system &#8212; results and insights from the RECIPE model intercomparison. Climatic Change 114, 9 &#8211; 37"	5	3	"chapter6"
"Leck E"	2006	" The impact of urban form on travel behavior: a meta-analysis. Berkeley Planning Journal 19, 37 &#8211; 58"	5	3	"chapter6"
"Kravitz B, K Caldeira, O Boucher, A Robock, P J Rasch, K Alterskj&#230;r, D B Karam, J N Cole, C L Curry, and J M Haywood"	2013	" Climate model response from the geoengineering model intercomparison project (geomip). Journal of Geophysical Research: Atmospheres 118, 8320 &#8211; 8332"	5	3	"chapter6"
"Jones A, J M Haywood, K Alterskj&#230;r, O Boucher, J N S Cole, C L Curry, P J Irvine, D Ji, B Kravitz, J Egill Kristj&#225;nsson, J C Moore, U Niemeier, A Robock, H Schmidt, B Singh, S Tilmes, S Watanabe, and J-H Yoon"	2013	" The impact of abrupt suspension of solar radiation management (termination effect) in experiment G2 of the Geoengineering Model Intercomparison Project (GeoMIP). Journal of Geophysical Research: Atmospheres 118, 9743 &#8211; 9752"	5	3	"chapter6"
"Brand&#227;o M., G. Heath, and J. Cooper"	2012	". What can meta-analyses tell us about the reliability of life cycle assessment for decision support"	5	3	"annex-iii"
"Ndrepepa A, and D Twardella"	2011	" Relationship between noise annoyance from road traffic noise and cardiovascular diseases: A meta-analysis. Noise and Health 13, 251 &#8211; 259"	5	3	"chapter12"
"Seto K C, M Fragkias, B G&#252;neralp, and M K Reilly"	2011	" A Meta-Analysis of Global Urban Land Expansion. PLOS ONE 6, e23777"	5	3	"chapter12"
"Heath G W, R C Brownson, J Kruger, R Miles, K E Powell, and L T Ramsey"	2006	" The effectiveness of urban design and land use and transport poli-cies and practices to increase physical activity: a systematic review. Journal of Physical Activity &amp; Health 3, S55 &#8211; S76"	5	3	"chapter12"
